Inquiries_English,"Main_Topic",Sub_Topic_Question,Established_Response
What is PESO?,Pre-Deployment,Ano ang PESO?,"The Public Employment Service Office (PESO) is a non-fee charging multi-employment service facility or entity established or accredited pursuant to Republic Act No. 8759, otherwise known as the PESO Act of 1999. The Act provides that in order to carry out full employment and equality of employment opportunities for all, and to strengthen and expand the existing employment facilitation service machinery of the government particularly at the local levels, there shall be established in all capital towns of provinces, key cities, and other strategic areas a Public Employment Service Office.

The PESO's are community-based and maintained largely by local government units (LGU's) and a number of non-governmental organizations (NGO's) or community-based organizations (CBO's) and state universities and colleges (SUC's). The PESO's are linked to the regional offices of the Department of Labor and Employment (DOLE) for coordination and technical supervision, and to the DOLE central office, to constitute the national employment service network.                                                                                                                                               Services of PESO for OFWs or Migrant Workers:

Job Fairs: Connects job seekers with employers for immediate job matching.
Reintegration Assistance: Helps returning Filipino migrant workers reintegrate into society.
Employment Counseling: Provides career guidance, pre-employment counseling, and orientation.
Livelihood Programs: Offers information on livelihood and self-employment opportunities.
Special Credit Assistance: Enables qualified applicants to avail opportunities for overseas employment.  (https://peis.philjobnet.ph/peso.aspx)"
,Pre-Deployment,,
Where is the office of OWWA?,Pre-Deployment,Saan ang opisina ng OWWA?,"OWWA Central Office

Full Name: Overseas Workers Welfare Administration (OWWA)
Address: F.B. Harrison St, Pasay, Metro Manila
Contact Numbers: 8891-7601 to 24
To find the nearest OWWA office or OWWA welfare regional offices, click the link https://owwa.gov.ph/?page_id=4172"
,Pre-Deployment,,
Where is the office of DMW?,Pre-Deployment,Saan ang opisina ng DMW?,"The Department of Migrant Workers (DMW) office is located at Blas F. Ople Building, Ortigas Ave., Cor. EDSA Ave., Mandaluyong City.

For inquiries, you can call their hotline at 8-722-1144 or 8-722-1155. You can also send them a message on their Facebook page - https://www.facebook.com/dmw.gov.ph/"
,Pre-Deployment,,
Where is the office of DFA?,Pre-Deployment,Saan ang opisina ng DFA?,"The DFA Office of Consular Affairs (DFA-OCA) is located at ASEANA Business Park, Pres. Diosdado Macapagal Blvd. cor. Bradco Ave., Brgy. Tambo, Parañaque City 1700, Philippines.

For more information:

Facebook: DFA Facebook Page - https://www.facebook.com/dfaphl
Website: DFA-OCA Website - https://dfa-oca.ph/
Contact Numbers: For various services, https://dfa-oca.ph/contact-us/"
,Pre-Deployment,,
What are the requirements that need to be submitted to the recruitment agency?,Pre-Deployment,Ano ang mga requirements na kailangan na ipasa sa recruitment agency ?,"The Overseas Filipino Worker shall pay the following fees and costs:
a. Documentation costs:
1. Passport;
2. NBI/Police/Barangay Clearance;
3. NSO authenticated birth certificate;
4. Transcript of Records and diploma issued by the school, certified by the
CHED and authenticated by the DFA;
5. Professional license issued by the PRC, authenticated by the DFA;
6. Certificate of Competency issued by TESDA or other competent
certifying body for the job applied for; and
7. DOH prescribed medical/health examination, based on the host country
medical protocol.
b. Membership with Philhealth, Pag-Ibig and the Social Security System. (Section
50)"
,Pre-Deployment,,
"Which documents should be submitted for contract processing and documentation   
of new hires?",Pre-Deployment,Aling mga dokumento ang dapat isumite para sa pagproseso at dokumentasyon ng kontrata ng mga bagong hire?,"The following documents shall be submitted for contract processing and documentation   
of new hires:
a. Request for processing (RFP) using the POEA-prescribed form indicating the
following:
1. name of OFW;
2. position;
3. salary;
4. contract duration;
5. job site;
6. particulars of certificate of cover of mandatory insurance; and
7. name of principal based on the POEA-approved master
employment contract.
b. Passport valid at least six (6) months from the intended date of departure;
c. Valid and appropriate visa;
d. Individual verified employment contracts for low/semi-skilled workers;
e. One-page summary of the contract for other highly-skilled and professional
Overseas Filipino Workers containing the following basic contract provisions:
1. name, birthdate, and sex of the worker;
2. name of employer;
3. job site;
4. position;
5. basic salary, overtime pay, and allowances;
6. food and accommodation;
7. contract duration; and                                                                                                      f. Pre-Employment Orientation Seminar (PEOS) and Pre-Departure Orientation
Seminar (PDOS) Certificates;
g. Certificate of medical fitness issued by DOH-accredited medical clinics for
OFWs;
8
h. Educational attainment; and
i. TESDA Skill Certification                                                                                                           "
,Pre-Deployment,,
"Which documents should be submitted for contract processing and documentation   
of newly hired domestic workers?",Pre-Deployment,Aling mga dokumento ang dapat isumite para sa pagproseso at dokumentasyon ng kontrata ng mga bagong upahang kasambahay?,"The following documents shall be submitted for contract processing and documentation
of newly hired domestic workers
a. Request for processing (RFP) using POEA prescribed form indicating the
following:
1. name of OFW;
2. position;
3. salary;
4. contract duration;
5. job site;
6. particulars of certificate of cover of mandatory insurance; and
7. name of the foreign placement agency and the employer.
b. Passport valid at least six (6) months from the intended date of departure;
c. Valid and appropriate visa;
d. Individual verified employment contract;
e. Pre-Employment Orientation Seminar (PEOS), Pre-Departure Orientation
Seminar (PDOS), and Comprehensive Pre-Departure Education Program
(CPDEP) Certificates;
f. Certificate of medical fitness issued by DOH-accredited medical clinics for
OFWs; and
g. TESDA Skill Certification. (Section 118)"
Where can I go for more information?,Pre-Deployment,Saan ako maaaring pumunta para sa karagdagang impormasyon?,For further information kindly see - https://dmw.gov.ph/archives/laws&rules/files/Q%20&%20A%20on%20Revised%20POEA%20Rules%202016.pdf or call the Department of Migrant Worker's hotline  at 8-722-1144 or 8-722-1155
,Pre-Deployment,,
Is it possible to return after the contract ends?,Pre-Deployment,Pwede ba bumalik kapag natapos ang kontrata?,"Yes, OFWs (Overseas Filipino Workers) can work again even if their contract is finished. They can renew their contracts with the same employer or find new employment opportunities either in the same country or in another. It's essential to ensure that all necessary legal and administrative procedures are followed, including securing the appropriate work permits and visas. For assistance and more information, OFWs can contact the Department of Migrant Workers (DMW) or visit their website for job prospects. "
,Pre-Deployment,,
What is PDOS?,Pre-Deployment,Ano ang PDOS?,"Pre Departure Orientations Seminar or PDOs stands in contrast to the PEOS. The PDOS is conducted just immediately, prior to departure or when migrants already have a contract of work.For further details kindly click this link - https://owwa.gov.ph/?page_id=4136"
,Pre-Deployment,Kailangan mo ba ng gabay para makakuha ng Overseas Employment Certificate (OEC)?,"REMINDER :  
Before your departure, make sure to take pictures of your contract, passport, and Iqama. Send these to your relatives or make photocopies. This way, if you need assistance, you can be easily located. Having these documents readily available will help authorities or support services find you quickly and provide the necessary aid."
What is iqama?,Salary or Wages,Ano ang iqama?,"
An Iqama is a residence permit issued to foreign nationals in Saudi Arabia, allowing them to live and work in the country. It serves as an official identification card and contains essential details such as the holder's name, nationality, job title, employer, and Iqama number. The Iqama must be carried at all times and is typically renewed annually. "
,Salary or Wages,,
What is PAOS,Salary or Wages,Ano ang PAOS?,"The PAOS, or Post Arrival Orientation Seminar, is an orientation seminar that an OFW (Overseas Filipino Worker) undergoes upon arrival in the host country. The employer must also attend the seminar. Additionally, a representative from the Foreign Recruitment Agency (FRA) or the Migrant Workers Office (MWO) and the Philippine Embassy must be present. They will explain the rights and obligations of both the worker and the employer according to the contract and the labor laws of the host country."
,Salary or Wages,,
What is the meaning of Khadama?,Salary or Wages,Ano ang ibig sabihin ng khadama?,Domestic worker
,Salary or Wages,,
"I am being abused by my employer, where can I ask for help?",Salary or Wages,"Inaabuso po ako ng amo ko, saan po pwedeng humingi ng tulong?","If you are being abused by your employer or recruitment agency, please report it to the nearest Migrant Workers Office (MWO) or Philippine Overseas Labor Office (POLO). You can text or call them. Find the nearest MWO/POLO and their contact details in this directory - https://owwa.gov.ph/wp-content/uploads/2022/09/DIRECTORY-OF-OVERSEAS-POSTS-For-Dissemination.pdf
If you need further assistance, please wait for a CMA caseworker to assist you. In the meantime, instruct your family members in the Philippines to report your concern. They can contact the hotline at 1348 or email repat@dmw.gov.ph.
To report to your OWWA regional welfare office, click this https://owwa.gov.ph/wp-content/uploads/2022/08/RWOs-Directory-as-of-08262022-2.pdf                                                                                          In cases where the employer violates the worker's rights, including issues of abuse, the law  (Migrant Workers Act of 1995 or RA 8042 stipulates that the employer and the recruitment agency are jointly liable for all claims and damages, ensuring that the worker has avenues for seeking redress and compensation.

Stay strong and know that help is on the way. You've taken an important step by reporting the abuse. Find a safe place to wait and focus on your breathing. You're not alone, and a caseworker will assist you soon."
,Salary or Wages,,
Where can I report if my employer is not giving me my salary?,Salary or Wages,Saan pwede magreport kung hindi binibigay ng amo ko ang sahod ko?,"First, ensure you have a record of your unpaid salary and your employment contract. Next, report it to your recruitment agency. If your recruitment agency does not assist you, report it to the nearest Migrant Workers Office (MWO) or Philippine Overseas Labor Office (POLO). You can text or call them. Find the nearest MWO and their contact details in the directory - https://owwa.gov.ph/wp-content/uploads/2022/09/DIRECTORY-OF-OVERSEAS-POSTS-For-Dissemination.pdf

The MWO ensures the protection of the rights and promotes the welfare and interests of overseas Filipino migrant workers, assisting with all employer-employee relationship issues.                                                                                                                                                                                                          REMEMBER: According to the POEA Standard Employment Contract for Filipino Household Service Workers (HSWs) Bound for the Kingdom of Saudi Arabia (2013):

“The employer shall open a bank account for the HSW in KSA, subject to SAMA rules and regulations, and shall deposit regularly every end of the month the salary of the HSW into the said account. The passbook or deposit slip, or their equivalent, shall be given to the HSW and remain in his/her custody. The employer shall help the HSW to remit his/her salary through proper banking channels.”"
,Salary or Wages,,
My employer and agency  said that I should pay for my plane ticket. Is this correct?,Salary or Wages,"Sabi ng amo ko at agency dito, na dapat ko daw bayaran ang plane ticket ko,tama po ba ito?","According to the POEA Standard Employment Contract for Filipino Household Service Workers (HSWs) Bound for the Kingdom of Saudi Arabia (2013)

“Free transportation to the site of employment and back to the point of origin upon expiration of contract and ensure the worker’s timely repatriation. In case, of termination for reason not attributable to the worker, the employer shall bear the cost of repatriation of the worker to the Philippines.” 

"
,Salary or Wages,,"In case the insured OFW was terminated by his/her employer without any valid cause, or the employee resigns with valid cause, the actual cost of transportation (air fare only) is covered by the Agency-Hired OFW Compulsory Insurance. The proceeds of this benefit go directly to the agency to reimburse the cost of oneway plane ticket back to the Philippines.

To know further, kindly see- https://dmw.gov.ph/archives/laws&rules/files/Insurance_OFW%20FAQs.pdf
"
,Salary or Wages,,
My employer is not giving me food. Is the food allowance included in the contract?,Salary or Wages,"Hindi ako binibigyan ng pagkain ng amo ko, ang food allowance ba ay included sa kontrata?","According to the POEA Standard Employment Contract for Filipino Household Service Workers (HSWs) Bound for the Kingdom of Saudi Arabia (2013) :

“ The employer shall provide the household service worker suitable and sanitary living quarters as well as adequate food or equivalent monetary allowance”
"
,Salary or Wages,,
Where is the embassy and MWO/POLO located?,Salary or Wages,Saan ang embassy at MWO/POLO?,"To find the nearest MWO/POLO in your area, please click on this link for the directory: Directory of Overseas Posts - https://owwa.gov.ph/wp-content/uploads/2022/09/DIRECTORY-OF-OVERSEAS-POSTS-For-Dissemination.pdf. Look for the country and location where you are working."
,Salary or Wages,,
"What does ""quit claim"" mean?",Salary or Wages,Ano ang ibig sabihin ng quit claim?,"When employees receive their final pay, they are typically asked to sign a release and quitclaim form. This form is a formal agreement indicating that the employee has received all owed compensation and waives any future claims against the employer.
REMEMBER, only sign a quit claim if all unpaid salary and other unsettled money claims have been provided to you by your employer or recruitment agency. Signing the quit claim should be done at the POLO/MWO to ensure that your rights are protected and the process follows proper legal procedures. This also ensures that all claims are appropriately addressed and there will be no issues in the future.
"
,Salary or Wages,,
"What does ""SENA"" mean?",Salary or Wages,Ano ang ibig sabihin ng SENA?,"Civil cases are initially processed through the Single Entry Approach (SEnA) for mandatory conciliation before proceeding to the National Labor Relations Commission (NLRC) or courts. This report focuses on money claims filed by OFWs, such as for unpaid wages and contract violations. These claims, categorized as civil cases, seek compensation for issues like employer abuse, wage non-payment, illegal contract termination, and excessive agency fees. Such claims can be filed in the Philippines against recruitment agencies under joint and solidary liability."
,Salary or Wages,,
"My agency in the Philippines has already closed, who can I file a complaint with?",Salary or Wages,"Sarado na po ang agency ko sa pinas, sino po ang maaaring ireklamo?","First, kailangan mo na i-check sa Department of Migrant Workers website https://dmw.gov.ph/licensed-recruitment-agencies sa status of the recruitment agency, whether it is licensed, suspended, permanently banned, or closed.

If your recruitment agency has closed and you need to file a complaint related to OFWs, direct it to the Department of Migrant Workers (DMW) in the Philippines. Find the complaints or legal assistance section (https://dmw.gov.ph/archives/AssistWELL/categ/legal.htm). Lastly, follow the instructions to file your complaint, including filling out forms and submitting evidence like contracts, receipts, and communication records.
"
,Salary or Wages,,
"I am undocumented, how can I ask for help?",Salary or Wages,Undocumented po ako paano po ako makakahingi ng tulong?,"Both documented and undocumented Overseas Filipino Workers (OFWs) can ask for help from the Migrant Workers Office (MWO) or Philippine Overseas Labor Office (POLO).
To find the nearest MWO/POLO in your area, please click on this link for the directory: https://owwa.gov.ph/wp-content/uploads/2022/09/DIRECTORY-OF-OVERSEAS-POSTS-For-Dissemination.pdf .Look for the country and location where you are working.
"
"I have returned to the Philippines, how do I file a complaint against my recruitment agency?",Repatriation,"Nakauwi na po ako pinas, paano mag-file ng reklamo sa akin recruitment agency?","To file a complaint against your recruitment agency as an Overseas Filipino Worker (OFW), follow these steps with the Department of Migrant Workers (DMW):
1.        Visit the DMW Website: https://dmw.gov.ph/
2.        Access the Complaints Section: https://dmw.gov.ph/archives/AssistWELL/categ/legal.htm
3.        Gather Documents: Collect your employment contract, receipts, communication records, and other relevant evidence.
4.        Fill Out Forms: Complete the complaint forms on the DMW website, at the DMW office, or at OWWA regional welfare office  - kindly click this link to locate the nearest office the https://owwa.gov.ph/wp-content/uploads/2022/08/RWOs-Directory-as-of-08262022-2.pdf
5.        Submit Your Complaint: Follow the instructions to submit your complaint online or in person with all required documents.
6.        Follow Up: Regularly check the status of your complaint and provide any additional information if requested.
"
What is SENA?,Repatriation, Ano ang  SENA?,"Civil cases are initially processed through the Single Entry Approach (SEnA) for mandatory conciliation before proceeding to the National Labor Relations Commission (NLRC) or courts. This report focuses on money claims filed by OFWs, such as for unpaid wages and contract violations. These claims, categorized as civil cases, seek compensation for issues like employer abuse, wage non-payment, illegal contract termination, and excessive agency fees. Such claims can be filed in the Philippines against recruitment agencies under joint and solidary liability."
,Repatriation,,
What do I need to bring to SENA?,Repatriation,Ano ang mga kailangan dalhin sa SENA?,"To find out what to bring to the Single Entry Approach (SENA), visit this website and avail of the legal assistance service of the Department of Migrant Workers (DMW):  https://dmw.gov.ph/archives/AssistWELL/categ/legal.htm"
,Repatriation,,
Can I bring a lawyer to SENA?,Repatriation,Pwede ba magsama ng lawyer sa SENA?,"Yes, a lawyer can accompany you during the Single Entry Approach (SENA) process as an Overseas Filipino Worker (OFW). However, it is important to note that SENA is designed to be a simplified and non-litigious process aimed at facilitating the resolution of labor disputes. Legal representation is allowed, but it is not mandatory, and the presence of a lawyer may be more common in more complex cases."
What is a money claim?,Repatriation,Ano ang money claims?,"Money claim a demand for payment of a sum of money, reimbursement or compensation"
Where can i file money claim?,Repatriation,Saan ako pwede magfile ng money claims,
I did not finish my contract with my employer because of the abuse. what to do?,Repatriation,hindi ko natapos ang kontrata ko sa aking employer dahil sa pang aabuso. ano ang gagawin?,"1. Document the events: Write or record the details of the abuse you experienced. Enter dates, times, and events in detail. 2. If you have a legitimate basis, you can submit a complaint to the Department of Migrant Workers (DMW) You must submit all documents and evidence that can prove your complaint. 3. Contact a lawyer who specializes in labor law. A lawyer can give you legal advice and help with next steps. 4. You can file a complaint against your employer at the DMW for disciplinary action against employer or (DAE)"
What is the process for filing money claims with the NLRC,Repatriation,Ano ang proseso sa pagfile ng money claims sa NLRC,
What is the prescriptive period og money claims,Repatriation,Ano ang prescruptine perieod ng money claims?,prescriptive period for filing a claim is three years from the date the cause of action accrued
What is a joint and solidary liability,Repatriation,Ano ang joint and solidary liability?,"as a private employment agency, such agencies must “assume joint and solidary liability with the employer for all claims and liabilities which may arise in connection with the implementation of the contract, including but not limited to payment of wages, death and disability, compensation and repatriation"
What is the Compulsory Insurance Coverage for Agency-Hired Migrant Workers?,Repatriation,Ano ang Compulsory Insurance Coverage for Agency-Hired Migrant Workers?,"The Agency-Hired OFW Compulsory Insurance or the Compulsory Insurance Coverage for Agency-Hired Migrant Workers, is an insurance mechanism made available by the law to provide insurance protection for the OFWs."
Who are covered by the Agency-Hired OFW Compulsory Insurance?,Repatriation,Sino ang sakop ng Agency-Hired OFW Compulsory Insurance?,"The Agency-Hired OFW Compulsory Insurance is mandatory for agency-hired OFWs. It is not mandatory for direct-hired, name-hired, or re-hired OFWs. If interested they can also avail of this insurance."
What are the benefits and coverages of the Agency-Hired OFW Compulsory Insurance?,Repatriation,Anu -ano ang mga benefits at coverages ng Agency-Hired OFW Compulsory Insurance?,"(1)Accidental Death Benefit (USD15,000); (2)Natural Death Benefit (USD10,000); (3)Permanent Total Disablement Benefit (USD7,500) ;(4)Repatriation Cost Benefit (Actual Cost); (5)Subsistence Allowance Benefit (USD 100.00 per month for a
maximum of six (6) months)
; (6)Money Claims Benefit (Three (3) months for every year of employment contract with amaximum of USD 1,000.00 per month); (7)Compassionate Visit Benefit (Actual Cost); (8) Medical Evacuation Benefit (Actual Cost); (9)Medical Repatriation Benefit (Actual Cost)"
,Repatriation,May immediate access ka ba sa pinakamalapit na embahada o konsulado ng Pilipinas?,You may access list of Foreign Service Posts - https://dfa.gov.ph/about/dfa-directory/our-foreign-service-posts-dfa
,Repatriation,Gusto mo bang malaman ang support services na ibinibigay ng OWWA?,Link to OWWA's  Programs and Services - https://owwa.gov.ph/#
,Repatriation,Kailangan mo ba ng contact information para sa mga opisina ng MWO?,"
DMW HOTLINES 24/7
8-722-1144
8-722-1155"
,Repatriation,Ikaw ba ay isang active OWWA member?  ,Download and register thru OWWA Mobile App
